#name,Lat,Lon,Description,URL,Image,category
WhiteSmoke AB,57.688543,11.906423,"White Smoke run a consultacy business under the brand name White Smoke Consulting. The consulting part of White Smoke assist clients with  technical, commersial and regulatory expertise as well as project management services related to LNG as marine fuel and LNG Bunkering. White Smoke is also a part owner of White Smoke Shipping AB, a company dedicated to the supply of LNG feedering and bunkering services.",http://www.whitesmoke.se,http://www.whitesmoke.se/images/WS1%20low%20wide%20small%202%20text.jpg,Consulting
AGA Gas AB,59.349846,18.144529,"Industrial gases from AGA play a crucial part in metallurgical processes, in chemical industry, food industry, environmental protection, while manufacturing glass and electronics, construction, pharmaceutical industry and research and development.",http://www.aga.com/international/web/lg/aga/like35agacom.nsf/docbyalias/homepage,http://www.aga.com/international/web/lg/aga/like35agacom.nsf/repositorybyalias/like30headimg/$file/headImage_default.jpg,Consulting
GDF Suez,,,Biggest utility in the world and is one of the leading LNG playes in the world and main LNG  importer in Europé. Involved in North Stream project to transport Russian LNG to Europé. NORDSTREAM = 9% owner,http://www.gdfsuez.com/en/group/governance/operational-organization/global-gas-lng/,,Shipping
DNV (Det Morske Veritas),59.888103,10.562526,"DNV (Det Norske Veritas) is an independent foundation with the purpose of safeguarding life, property, and the environment. Our history goes back to 1864, when the foundation was established in Norway to inspect and evaluate the technical condition of Norwegian merchant vessels.",http://www.dnv.com/,http://www.dnv.com/binaries/dnvlib_gfx_logo_tcm4-255694.gif,Research
SIS · Swedish Standards Institute,59.32893,18.06491,ISO TC 67 WG10 PT1 committee by SIS to develop the first international accepted standard for LNG bunkering,http://www.sis.se/,http://www.sis.se/ClientUI/Images/cssimg/logo.png,Research
CIMET (Centre for International Maritime Education and Training),56.854041,14.833023,"This project will establish an international, STCW compliant, Centre for International Maritime Education and Training (CIMET) involving six partner institutions in the EU and Canada. Multilateral cooperation in the development of curricula and student exchanges in this highly focused area of vocational education will generate considerable ""added value"" for each participating institution as they develop their courses and programmes to comply with STCW requirements as set down by the International Maritime Organisation (IMO). The development of computer and web-based course materials will also be an important output of this collaboration.",http://lnu.se/schools/kalmar-maritime-academy/research/previous-projects/cimet?l=en,http://lnu.se/img/logo_symbol.png,Training
Volvo Trucks,58.902926,17.946529,"One of the top 3 heavy truck manufacturers. Volvo Trucks is enhancing its focus on alternative fuels with the launch of the new Volvo FM MethaneDiesel. This truck is powered by up to 75 percent gas. In addition,work on use of LNG powered trucks",http://www.volvotrucks.com/,http://www.volvotrucks.com/_layouts/cwp-splash/volvotrucks-com/images/banner1.jpg,End-user technologies
CRYO AB,57.566028,11.247246,"CRYO AB's product line includes a large variety of LNG equipment, both on-shore and off-shore. The company’s LNG programme includes complete LNG receiving terminals, semi-trailer for land transport, fuel tanks for ships and ferries, as well as gas supply back-up systems and mobile equipment for the testing of gas turbines.",http://www.cryo.se/,,Shipbuilding & Repair
STENA LNG,57.701218,11.94566,"Stena LNG is committed to maintain the position as one of the world’s best in quality, health, safety and environment (“QHSE”) management system, a position that is associated with the Stena brand and has been built up during the 30 years as owners and operators of oil and product tankers. The Company’s credo is .""Gas should always travel First Class""…",http://www.stenalng.com/Pages/default.aspx,http://www.stenalng.com/Slideshow/bridge+stena+clear+sky-2447.jpg,Shipping
Liquiline,59.313203,18.181647,The company is regarded a specialist in the transport and storage of liquefied natural gas (LNG) and liquefied biogas (LBG). Liquiline delivers Front-End Engineering & Design (FEED) and Project Management services for an LNG-terminal,http://www.liquiline.com/,http://www.liquiline.com/publish_files/LiquilineNews_April_2011.pdf,Shipping
Skangass AS,57.706873,11.940639,"Skangass AS was established in 2007 and is owned by Lyse Group 
Skangass will be responsible for the operation of the LNG plant at Risavika in Sola. The plant will have an annual production of 300,000 tonnes of LNG, equivalent to the energy consumption of two cities the size of Stavanger.",http://www.skangass.com/,http://www.skangass.com/gfx/skangass.png,End-user technologies
Frederiet AB,59.237941,18.517178,Frederiet AB has for several years studied and analysed the development of the supply chain for LNG and other alternative ship fuels and has indentified it as an interesting growth area and a complement to the present shipping activities in Frederiet AB. White Smoke AB and Frederiet AB have decided to join forces in the development of the world’s first LNG bunker vessel operation.,,,Bunkering
E.ON - Karlshamnkraft,56.163923,14.859039,"E.ON Nordic is large provider and distributor of LNG.""Mid Sweden Project
•Market Potential 15-25 TWh in 1st Phase
•600 km High Pressure Pipeline
•First Deliveries in 2010
•Main Supply Option: LNG
•Many supply options have been under
consideration over the years:
•Extension of Grid from the South, several
routes considered
•Pipeline from Russia, Norway, Finland,
Germany""",http://www.karlshamnkraft.se,http://www.hldesign.se/System/ImageArchive/Image_56201.png,End-user technologies
Preem AB,59.339321,18.011455,"Preem AB advise a new LNG plant will be built at Brofjorden in order to supply refinery with abt 250,000 t liquid natural gas. The LNG will substitute naphtha and butane in the process and are expected to reduce the refinery's carbon dioxide emissions by abt 100,000 t yearly. Preem expect facility to be up and running end of 2013.",http://www.preem.se,http://www.preem.se/images/logo.gif,End-user technologies
